module,chunk,chunk_kib,depth,n,total_ns_median,total_ns_mad,engine_ns_median,construct_ns_median,mibps_median,wall_per_chunk_ns_median,instructions_median,instructions_per_byte,instructions_per_chunk,cpu_us_median
replica-natural,16384,16.0,2,7,349182434,67306389,349175400,7003,366.570559,42624.808838,124998725.0,0.931313,15258.633423,607657
replica-natural,16384,16.0,4,7,285372734,9961101,285363123,9945,448.536194,34835.538818,125571702.0,0.935582,15328.576904,560783
replica-natural,16384,16.0,8,7,320133962,38718955,320118014,16663,399.832618,39078.852783,126368851.0,0.941521,15425.885132,627097
replica-natural,24576,24.0,1,7,523541616,35444632,523536569,5047,244.488683,95851.632369,87589148.0,0.65259,16036.094471,606267
replica-natural,24576,24.0,2,7,271593335,19740163,271586903,6838,471.292861,49724.155071,84594320.0,0.630277,15487.792018,494227
replica-natural,24576,24.0,4,7,268733041,14337418,268722930,9754,476.309126,49200.483523,84942803.0,0.632873,15551.593372,471821
replica-natural,24576,24.0,8,7,307917796,27214602,307896539,21257,415.695363,56374.550714,85682835.0,0.638387,15687.08074,570529
replica-natural,32768,32.0,1,7,589854482,92635282,589849681,4860,217.002674,144007.441895,66393983.0,0.494674,16209.468506,614999
replica-natural,32768,32.0,2,7,254814586,22848996,254807512,7074,502.326032,62210.592285,64164566.0,0.478063,15665.177246,475554
replica-natural,32768,32.0,4,7,260245392,12611667,260235396,9996,491.843483,63536.472656,64435242.0,0.48008,15731.260254,494714
replica-natural,32768,32.0,8,7,265137241,14417332,265117350,21171,482.768846,64730.771729,64978304.0,0.484126,15863.84375,460331
replica-natural,49152,48.0,1,7,575480749,38661686,575476474,5436,222.422731,210721.62175,45213921.0,0.33687,16555.811424,613021
replica-natural,49152,48.0,2,7,232954616,11602773,232948228,6792,549.463248,85300.115709,43727821.0,0.325798,16011.651776,438795
replica-natural,49152,48.0,4,7,207708803,16534180,207692663,15765,616.247353,76055.9513,43913632.0,0.327182,16079.689491,411226
replica-natural,49152,48.0,8,7,239343406,19767070,239321498,21908,534.796434,87639.474918,44287047.0,0.329964,16216.421457,439233
replica-natural,65536,64.0,1,7,497405368,9801338,497400269,5359,257.335381,242873.714844,34616380.0,0.257912,16902.529297,515819
replica-natural,65536,64.0,2,7,216004895,13043014,215998585,6678,592.579164,105471.140137,33506790.0,0.249645,16360.737305,390035
replica-natural,65536,64.0,4,7,205286564,5514232,205271721,14494,623.518644,100237.580078,33652458.0,0.25073,16431.864258,374043
replica-natural,65536,64.0,8,7,216352454,22697079,216330728,22817,591.627216,105640.84668,33933559.0,0.252825,16569.120605,390884
replica-natural,1048576,1024.0,1,7,196057264,8532769,196041259,14310,652.87048,1531697.375,4825394.0,0.035952,37698.390625,285561
replica-natural,1048576,1024.0,2,7,143997948,2868824,143973608,21128,888.901556,1124983.96875,4765356.0,0.035505,37229.34375,288489
replica-natural,1048576,1024.0,4,7,140829867,1007533,140804839,26053,908.89811,1100233.335938,4785497.0,0.035655,37386.695312,287901
replica-natural,1048576,1024.0,8,7,142804384,3871570,142765002,38875,896.331026,1115659.25,4833292.0,0.036011,37760.09375,294576
