mode,dir,arm,offset,size,depth,workers,alignment,page_offset,kc,ops_per_rep,io_ns_median,io_ns_mad,wall_ns_per_op,minflt_io_median,instructions_per_op,cycles_per_op,thread_op_ns_median
ladder,read,a4,0,4096,16,1,512,0,16,16,16442.0,20.0,1027.625,0.0,2398.0089285714284,1252.8035714285713,
ladder,read,a4,0,4096,32,1,512,0,16,16,15300.0,10.0,956.25,0.0,2398.4196428571427,1510.1339285714287,
ladder,read,a4,0,8192,1,1,512,0,16,16,19738.0,70.0,1233.625,0.0,4290.633928571428,1305.982142857143,
ladder,read,a4,0,8192,2,1,512,0,16,16,19533.0,55.0,1220.8125,0.0,4291.446428571428,-109.96428571428571,
ladder,read,a4,0,8192,4,1,512,0,16,16,17805.0,45.5,1112.8125,0.0,4290.571428571428,2373.1875,
ladder,read,a4,0,8192,8,1,512,0,16,16,20079.0,60.5,1254.9375,0.0,4290.866071428572,-3334.535714285714,
ladder,read,a4,0,8192,16,1,512,0,16,16,19864.0,401.0,1241.5,0.0,4289.464285714285,4571.008928571428,
ladder,read,a4,0,8192,32,1,512,0,16,16,20841.0,65.0,1302.5625,0.0,4290.919642857143,2688.2678571428573,
ladder,read,a4,0,16384,1,1,512,0,16,16,31441.5,2034.0,1965.09375,0.0,8072.053571428572,-844.5803571428571,
ladder,read,a4,0,16384,2,1,512,0,16,16,29022.0,271.0,1813.875,0.0,8072.125,4216.803571428572,
ladder,read,a4,0,16384,4,1,512,0,16,16,29282.5,166.0,1830.15625,0.0,8072.973214285715,1779.3482142857142,
ladder,read,a4,0,16384,8,1,512,0,16,16,28515.5,676.5,1782.21875,0.0,8072.0,4895.330357142857,
ladder,read,a4,0,16384,16,1,512,0,16,16,28901.5,411.0,1806.34375,0.0,8075.035714285715,4459.473214285715,
ladder,read,a4,0,16384,32,1,512,0,16,16,28931.5,952.5,1808.21875,0.0,8074.553571428572,607.3571428571429,
ladder,read,a4,0,65536,1,1,512,0,16,16,78252.5,987.0,4890.78125,0.0,30763.678571428572,4955.044642857143,
ladder,read,a4,0,65536,2,1,512,0,16,16,124208.0,8697.5,7763.0,0.0,30766.20535714286,12463.151785714286,
ladder,read,a4,0,65536,4,1,512,0,16,16,75422.0,1192.5,4713.875,0.0,30763.633928571428,5757.0625,
ladder,read,a4,0,65536,8,1,512,0,16,16,75732.5,2850.5,4733.28125,0.0,30763.66964285714,8808.88392857143,
ladder,read,a4,0,65536,16,1,512,0,16,16,75782.5,1112.5,4736.40625,0.0,30766.071428571428,6391.651785714285,
ladder,read,a4,0,65536,32,1,512,0,16,16,88693.5,11778.0,5543.34375,0.0,30766.928571428572,4565.866071428572,
ladder,read,a4,0,1048576,1,1,512,0,16,16,1769611.5,173368.5,110600.71875,0.0,484607.2589285714,149536.60714285713,
ladder,read,a4,0,1048576,2,1,512,0,16,16,1904645.5,68002.5,119040.34375,0.0,484605.5625,128493.375,
ladder,read,a4,0,1048576,4,1,512,0,16,16,2524263.0,88441.5,157766.4375,0.0,484607.33928571426,335672.01785714284,
ladder,read,a4,0,1048576,8,1,512,0,16,16,1512815.0,62296.0,94550.9375,0.0,484608.70535714284,125688.10714285714,
ladder,read,a4,0,1048576,16,1,512,0,16,16,1767307.0,170427.0,110456.6875,0.0,484607.3125,139809.8482142857,
ladder,read,a4,0,1048576,32,1,512,0,16,16,2290608.0,279355.0,143163.0,0.0,484607.23214285716,221265.4107142857,
ladder,read,a5,0,4096,1,1,1024,0,16,16,15134.5,5.0,945.90625,0.0,2398.3035714285716,4156.910714285715,
ladder,read,a5,0,4096,2,1,1024,0,16,16,15330.0,30.0,958.125,0.0,2398.2053571428573,852.0178571428571,
