arm,branch-misses_u_per_op,cache-misses_u_per_op,cycles_u_per_op,depth,instructions_u_per_op,ok,op,ops,perf_wrapped,request_size,sys_ns_per_op,user_ns_per_op,wall_ns_per_op,word_sum,write_runner_verified
z1,2.88128662109375,79.19178989955357,1325.2352294921875,1,670.2688337053571,True,write,16384,,4096,36611.63330078125,368.0419921875,39376.36999511719,0,True
z1b,2.7178780691964284,85.63359723772321,1210.2995082310267,1,705.2545078822544,True,write,16384,,4096,43210.02197265625,264.16015625,48040.285583496094,0,True
z1bw,32.74041748046875,388.15633719308033,5439.255536760603,1,1476.5538591657366,True,write,16384,,4096,78348.32763671875,2695.3125,70726.63427734375,0,True
z2,42.53230503627232,226.6381574358259,5094.541120256697,1,4108.026611328125,True,write,16384,,4096,45383.9111328125,1139.2822265625,49205.508728027344,0,True
z3w1,65.41224016462054,374.2535400390625,9362.692199707031,1,8477.531241280692,True,write,16384,,4096,44059.14306640625,2995.849609375,52142.96618652344,0,True
z3w4,,,,1,,True,write,16384,False,4096,28754.7607421875,5644.47021484375,36076.14978027344,0,True
z1,2.0438319614955356,56.836783272879465,1023.3240618024554,32,623.5475725446429,True,write,16384,,4096,4788.330078125,74.3408203125,2513.8242797851562,0,True
z1b,2.1889474051339284,55.492117745535715,1063.2364763532366,32,665.2541067940848,True,write,16384,,4096,5036.43798828125,0.0,2519.7898559570312,0,True
z1bw,3.7299630301339284,55.182686941964285,1650.6680733816963,32,812.2270595005581,True,write,16384,,4096,7072.3876953125,305.60302734375,3199.0244140625,0,True
z2,5.903703962053571,63.037405831473215,1815.7905011858259,32,2677.8976004464284,True,write,16384,,4096,4846.61865234375,333.80126953125,2644.1642456054688,0,True
z3w1,8.481741768973214,65.28497314453125,2569.0940377371653,32,3663.0179617745534,True,write,16384,,4096,4519.8974609375,616.2109375,2492.4326171875,0,True
z3w4,,,,32,,True,write,16384,False,4096,9324.5849609375,999.08447265625,4115.459045410156,0,True
z1,2.1196114676339284,57.331290108816965,987.7518310546875,64,632.6264038085938,True,write,16384,,4096,5454.4677734375,73.2421875,2519.3906860351562,0,True
z1b,1.9573102678571428,56.7188720703125,1058.7069353376116,64,651.6054600306919,True,write,16384,,4096,5099.91455078125,99.91455078125,2649.3419799804688,0,True
