arm,binary_sha256,cell,depth,error_note,family,fs,instr_u_per_op_estimates,ok,op,ops,request_size,sys_ns_per_op,total_bytes,user_ns_per_op,wall_ns_per_op_samples,word_sum,workers,write_verified
z1b,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,S,8,,re1u,tmpfs,"[631.5047411237445, 633.5679800851004]",True,write,65536,4096,2736.7054332386365,268435456,559.295654296875,"[1849.9477233886719, 1819.9047546386719, 1760.3973083496094, 1774.3377380371094, 1759.3338165283203, 1746.526123046875, 1753.5911254882812, 1762.6531066894531, 1748.3275909423828, 1752.4045104980469, 1780.7573547363281]",,1,True
z3,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,S,8,,re1u,tmpfs,"[3964.9636884416855, 3927.787817818778]",True,write,65536,4096,3049.8435280539775,268435456,1377.4844082919035,"[2614.729263305664, 2609.154052734375, 2595.057861328125, 2590.8995208740234, 2618.5653228759766, 2616.771041870117, 2622.674270629883, 2604.612991333008, 2600.495162963867, 2624.2093048095703, 2599.4981994628906]",,1,True
z2,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,S,8,,re1u,tmpfs,"[2815.2940630231583, 2919.1641213553294]",True,write,65536,4096,2862.9608154296875,268435456,1053.8371693004262,"[2194.7284240722656, 2195.580368041992, 2220.904037475586, 2202.498245239258, 2279.1148223876953, 2275.5607299804688, 2289.9886779785156, 2278.5491790771484, 2268.5966033935547, 2294.442337036133, 2283.611541748047]",,1,True
z1bw,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,S,8,,re1u,tmpfs,"[916.6105106898716, 922.6018218994141]",True,write,65536,4096,6001.7603093927555,268435456,1433.5493607954545,"[2623.056594848633, 2614.147689819336, 2708.7964477539062, 2749.0234375, 2830.920425415039, 2817.0535278320312, 2856.474334716797, 2876.155532836914, 2846.309829711914, 2761.471893310547, 2757.5699005126953]",,1,True
z1,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,S,8,,re1u,tmpfs,"[595.5189099993024, 594.6573442731585]",True,write,65536,4096,2791.967218572443,268435456,545.6085205078125,"[1848.186752319336, 1851.6886596679688, 1845.82470703125, 1855.1063079833984, 1766.8633270263672, 1774.1705780029297, 1757.3193359375, 1752.3570709228516, 1756.7521057128906, 1786.2181701660156, 1797.7685089111328]",,1,True
z2,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,L,2,,re1u,tmpfs,"[462553.61551339284, 462553.61300223216]",True,read,512,2097152,362170.27698863635,1073741824,175506.7471590909,"[348901.189453125, 341228.169921875, 350015.12109375, 349155.5703125, 348642.841796875, 350680.185546875, 350138.99609375, 333907.556640625, 349278.837890625, 348473.6953125, 350255.296875]",8388255058653085696,1,True
z1bw,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,L,2,,re1u,tmpfs,"[459862.490234375, 459862.8359375]",True,read,512,2097152,393656.9602272727,1073741824,203420.63210227274,"[378883.15625, 378083.267578125, 380392.30078125, 375598.65625, 378946.212890625, 379403.455078125, 376104.376953125, 374073.341796875, 377186.548828125, 378352.21484375, 382265.578125]",8388255058653085696,1,True
z3,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,L,2,,re1u,tmpfs,"[467122.01227678574, 467122.01116071426]",True,read,512,2097152,363710.58238636365,1073741824,169161.0440340909,"[401979.6015625, 350370.685546875, 349763.537109375, 348137.46484375, 348404.453125, 344536.087890625, 326215.78125, 339728.9375, 324721.484375, 345524.150390625, 352569.654296875]",8388255058653085696,1,True
z1b,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,L,2,,re1u,tmpfs,"[459060.751953125, 459060.76311383926]",True,read,512,2097152,370522.5497159091,1073741824,104462.53551136363,"[347918.521484375, 347739.099609375, 346668.8203125, 345218.412109375, 345909.970703125, 346287.806640625, 346339.4453125, 348362.021484375, 346969.984375, 345225.6953125, 345691.3828125]",8388255058653085696,1,True
z1,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,L,2,,re1u,tmpfs,"[458994.16183035716, 458994.21065848216]",True,read,512,2097152,307608.1321022727,1073741824,128329.01278409091,"[325042.1171875, 323573.310546875, 325886.888671875, 325498.2578125, 322574.828125, 322338.763671875, 324494.572265625, 323210.96484375, 326308.59765625, 325085.935546875, 323157.154296875]",8388255058653085696,1,True
z3,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,L,2,,re1u,tmpfs,"[223288.65206473213, 223288.7162388393]",True,write,512,2097152,301727.98295454547,1073741824,190387.6065340909,"[298301.92578125, 303761.83203125, 295194.72265625, 303383.173828125, 295418.689453125, 291521.693359375, 292114.0, 292403.279296875, 290670.87890625, 294941.509765625, 298241.3984375]",,1,True
z2,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,L,2,,re1u,tmpfs,"[218718.94559151787, 218719.0092075893]",True,write,512,2097152,321623.57954545453,1073741824,218376.0653409091,"[313583.369140625, 319417.017578125, 315281.98046875, 323364.345703125, 318988.791015625, 314789.125, 310459.791015625, 310909.58984375, 314270.97265625, 322927.3359375, 325084.08203125]",,1,True
z1bw,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,L,2,,re1u,tmpfs,"[216022.33286830358, 216023.08956473213]",True,write,512,2097152,331324.3963068182,1073741824,202694.77982954544,"[313376.87109375, 317645.02734375, 315523.18359375, 322700.697265625, 322281.494140625, 316957.595703125, 316594.705078125, 314485.732421875, 317248.96875, 323460.650390625, 323821.56640625]",,1,True
z1,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,L,2,,re1u,tmpfs,"[215167.7837611607, 215167.7513950893]",True,write,512,2097152,303280.1846590909,1073741824,154702.2372159091,"[316794.736328125, 300227.884765625, 298123.626953125, 296853.634765625, 302035.103515625, 298957.091796875, 300706.55859375, 295382.419921875, 302415.6484375, 297978.5625, 298738.640625]",,1,True
z1b,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,L,2,,re1u,tmpfs,"[215220.3071986607, 215220.33203125]",True,write,512,2097152,299391.8678977273,1073741824,155252.8409090909,"[295991.62890625, 296185.591796875, 297223.26953125, 296158.2109375, 300594.435546875, 297481.458984375, 300892.310546875, 294370.908203125, 295988.599609375, 297637.548828125, 300423.14453125]",,1,True
