phase,arm,size,slots,regime,ops_per_rep,kc,window_bytes,alloc_ns_median,alloc_ns_mad,alloc_ns_per_buffer,io_ns_median,io_ns_mad,io_ns_per_first_read,io_ns_per_op,total_to_first_io_ns_median,total_to_first_io_ns_mad,total_to_first_io_ns_per_buffer,touch_ns_median,touch_ns_mad,touch_ns_per_page,destroy_ns_median,minflt_alloc_median,minflt_io_median,minflt_touch_median,minflt_total_median,construct_ns,construct_minflt,prefault_ns,prefault_minflt,instructions_per_unit,cycles_per_unit
D,b0,65536,1,pinned,1,,,41460.0,4213.5,41460.0,,,,,,,,90.0,10.0,5.625,14233.0,17.0,,,,,,,,481827.28571428574,164744.14285714287
D,b0,65536,8,pinned,8,,,228393.0,7800.0,28549.125,,,,,,,,686.0,50.0,5.359375,62421.0,136.0,,,,,,,,85425.28571428571,43019.232142857145
D,b0,65536,32,pinned,32,,,873575.5,14944.0,27299.234375,,,,,,,,3577.0,265.0,6.986328125,255836.5,544.0,,,,,,,,14458.700892857143,23152.933035714286
D,b0,65536,128,pinned,128,,,4597616.5,193541.0,35918.87890625,,,,,,,,40739.5,10705.5,19.892333984375,1380804.0,2176.0,,,,,,,,5268.573660714285,17797.05691964286
D,b0,1048576,1,pinned,1,,,431763.0,35318.0,431763.0,,,,,,,,1613.0,265.0,6.30078125,62671.5,257.0,,,,,,,,589033.2857142857,467515.71428571426
D,b0,1048576,8,pinned,8,,,3473541.5,167555.5,434192.6875,,,,,,,,19378.0,4509.0,9.4619140625,510115.5,2056.0,,,,,,,,126526.51785714286,273782.16071428574
D,b0,1048576,32,pinned,32,,,23684974.5,2898005.0,740155.453125,,,,,,,,268356.5,54841.5,32.75836181640625,3684415.5,8224.0,,,,,,,,64961.89732142857,281115.1026785714
D,b0,1048576,128,pinned,128,,,69754479.5,927932.0,544956.87109375,,,,,,,,888572.0,47782.5,27.1170654296875,12551307.0,32896.0,,,,,,,,63188.78571428572,263093.2511160714
D,b1,4096,1,pinned,1,,,3648.0,86.0,3648.0,,,,,,,,30.0,0.0,30.0,3777.0,1.0,,,,,,,,313933.4285714286,60574.142857142855
D,b1,4096,8,pinned,8,,,25915.5,2205.0,3239.4375,,,,,,,,45.0,5.0,5.625,24608.0,8.0,,,,,,,,65360.82142857143,24195.964285714286
D,b1,4096,32,pinned,32,,,111511.5,3893.0,3484.734375,,,,,,,,140.0,34.5,4.375,114747.5,32.0,,,,,,,,11585.30357142857,6319.049107142857
D,b1,4096,128,pinned,128,,,418146.0,14433.0,3266.765625,,,,,,,,756.5,70.5,5.91015625,435870.5,128.0,,,,,,,,3645.1897321428573,2643.5546875
D,b1,65536,1,pinned,1,,,3938.0,296.0,3938.0,,,,,,,,27262.5,4483.5,1703.90625,8752.0,1.0,,15.0,,,,,,69996.0,31175.14285714286
D,b1,65536,8,pinned,8,,,25063.5,1357.5,3132.9375,,,,,,,,173321.0,2935.0,1354.0703125,60317.0,8.0,,120.0,,,,,,51180.28571428572,28998.035714285714
D,b1,65536,32,pinned,32,,,101181.0,2720.5,3161.90625,,,,,,,,707448.0,16181.0,1381.734375,246242.5,32.0,,480.0,,,,,,10873.089285714286,15227.776785714286
D,b1,65536,128,pinned,128,,,501658.0,29762.5,3919.203125,,,,,,,,3800775.5,214772.0,1855.847412109375,1311936.0,128.0,,1920.0,,,,,,4188.198660714285,14882.55357142857
D,b1,1048576,1,pinned,1,,,4879.5,1066.5,4879.5,,,,,,,,374732.5,10375.0,1463.798828125,58609.0,1.0,,255.0,,,,,,245645.2857142857,268983.5714285714
D,b1,1048576,8,pinned,8,,,33154.5,2119.5,4144.3125,,,,,,,,3350598.0,133163.5,1636.0341796875,522018.0,8.0,,2040.0,,,,,,82484.91071428571,221147.9107142857
D,b1,1048576,32,pinned,32,,,192143.0,36570.5,6004.46875,,,,,,,,24532182.0,1647902.5,2994.651123046875,4004121.0,32.0,,8160.0,,,,,,13698.535714285714,221274.28125
D,b1,1048576,128,pinned,128,,,564543.5,18445.0,4410.49609375,,,,,,,,67655880.0,926535.5,2064.693603515625,12345593.0,128.0,,32640.0,,,,,,5175.129464285715,198615.1997767857
D,b2,4096,1,pinned,1,,,2054.0,155.5,2054.0,,,,,,,,1979.0,55.5,1979.0,3777.5,0.0,,1.0,,,,,,19692.285714285714,63934.28571428572
D,b2,4096,8,pinned,8,,,10881.0,115.0,1360.125,,,,,,,,15174.5,2244.5,1896.8125,25950.5,0.0,,8.0,,,,,,35754.017857142855,17489.5
D,b2,4096,32,pinned,32,,,47938.0,586.0,1498.0625,,,,,,,,57622.0,1683.5,1800.6875,121441.0,0.0,,32.0,,,,,,14829.00892857143,2884.2410714285716
D,b2,4096,128,pinned,128,,,163097.0,4103.0,1274.1953125,,,,,,,,192618.5,4854.5,1504.83203125,423647.5,0.0,,128.0,,,,,,2975.8883928571427,1831.28125
D,b2,65536,1,pinned,1,,,1653.0,40.0,1653.0,,,,,,,,25183.5,3232.0,1573.96875,7164.0,0.0,,16.0,,,,,,82966.14285714286,13813.57142857143
D,b2,65536,8,pinned,8,,,10655.5,160.5,1331.9375,,,,,,,,183922.0,682.0,1436.890625,59991.0,0.0,,128.0,,,,,,39505.57142857143,24906.535714285714
D,b2,65536,32,pinned,32,,,41846.5,576.0,1307.703125,,,,,,,,797888.0,58132.0,1558.375,245431.5,0.0,,512.0,,,,,,10225.950892857143,13559.482142857143
D,b2,65536,128,pinned,128,,,173446.5,6332.0,1355.05078125,,,,,,,,3745693.5,114502.5,1828.951904296875,1119617.0,0.0,,2048.0,,,,,,1265.546875,13537.75892857143
D,b2,1048576,1,pinned,1,,,2515.0,235.0,2515.0,,,,,,,,443079.5,12740.0,1730.779296875,67015.5,0.0,,256.0,,,,,,594447.0,371516.4285714286
D,b2,1048576,8,pinned,8,,,11377.0,316.0,1422.125,,,,,,,,3395510.0,116101.0,1657.9638671875,497951.5,0.0,,2048.0,,,,,,31996.26785714286,198948.23214285713
D,b2,1048576,32,pinned,32,,,65672.0,7920.0,2052.25,,,,,,,,30313955.5,5313525.5,3700.4340209960938,3168344.0,0.0,,8192.0,,,,,,8787.267857142857,220327.16964285713
D,b2,1048576,128,pinned,128,,,187288.0,8391.5,1463.1875,,,,,,,,68357393.0,1362766.5,2086.102081298828,12536283.0,0.0,,32768.0,,,,,,3577.9475446428573,195381.2890625
D,b3,4096,1,pinned,1,,,3823.0,171.0,3823.0,,,,,,,,1924.0,90.0,1924.0,4539.0,1.0,,1.0,,,,,,314477.14285714284,105376.71428571429
D,b3,4096,8,pinned,8,,,26315.5,2329.5,3289.4375,,,,,,,,11907.5,816.0,1488.4375,30569.5,8.0,,8.0,,,,,,34989.642857142855,18200.75
D,b3,4096,32,pinned,32,,,115163.5,4559.0,3598.859375,,,,,,,,54230.5,1648.0,1694.703125,126430.5,32.0,,32.0,,,,,,2095.8616071428573,2632.7723214285716
D,b3,4096,128,pinned,128,,,412816.0,12715.0,3225.125,,,,,,,,191070.5,7454.0,1492.73828125,465388.5,128.0,,128.0,,,,,,3650.652901785714,2888.8426339285716
D,b3,65536,1,pinned,1,,,3461.5,90.0,3461.5,,,,,,,,24808.0,2775.5,1550.5,7194.0,1.0,,16.0,,,,,,541690.2857142857,191587.42857142858
D,b3,65536,8,pinned,8,,,26036.0,1267.0,3254.5,,,,,,,,183842.0,2049.0,1436.265625,62406.0,8.0,,128.0,,,,,,73505.41071428571,34468.107142857145
D,b3,65536,32,pinned,32,,,106547.0,1668.5,3329.59375,,,,,,,,809461.0,37873.5,1580.978515625,263131.0,32.0,,512.0,,,,,,21414.34375,20308.57589285714
D,b3,65536,128,pinned,128,,,441912.5,12659.5,3452.44140625,,,,,,,,3663559.5,105159.0,1788.847412109375,1172510.0,128.0,,2048.0,,,,,,3889.246651785714,16273.54799107143
D,b3,1048576,1,pinned,1,,,9278.0,3532.0,9278.0,,,,,,,,572351.0,58728.0,2235.74609375,92539.5,1.0,,256.0,,,,,,106151.85714285714,382467.14285714284
D,b3,1048576,8,pinned,8,,,34566.5,3111.0,4320.8125,,,,,,,,3618633.5,121069.5,1766.910888671875,622012.5,8.0,,2048.0,,,,,,64528.75,230469.375
D,b3,1048576,32,pinned,32,,,285319.0,53298.5,8916.21875,,,,,,,,70983566.0,30736984.5,8664.986083984375,6194171.5,32.0,,8192.0,,,,,,12587.348214285714,241299.5892857143
D,b3,1048576,128,pinned,128,,,557139.5,30470.0,4352.65234375,,,,,,,,65667848.5,1674321.5,2004.023696899414,11026453.0,128.0,,32768.0,,,,,,6813.856026785715,201529.42075892858
